"CCT","longitud","latitud","tipo","gob","nombre","alcaldia","cp"
"09DPR2747P","-99.06817222","19.34065278","Primaria","Federal","Maestro Domingo Tirado Benedi","Iztapalapa","9830"
"09DPR2748O","-99.09342778","19.50753056","Primaria","Federal","Profra. Consuelo Martinez de Cuervo","Gustavo A. Madero","0"
"09DPR2749N","-99.23698611","19.27231389","Primaria","Federal","Profr. Cecilio Mijares Poblano","Tlalpan","14210"
"09DPR2750C","-99.10712778","19.37831667","Primaria","Federal","Agustin Yaóóez","Iztapalapa","9420"
"09DPR2752A","-99.08941667","19.48766389","Primaria","Federal","Heroica Veracruz","Gustavo A. Madero","7420"
"09DPR2753Z","-99.06808056","19.41245","Primaria","Federal","Estado de Oaxaca","Iztacalco","8100"
"09DPR2755Y","-99.05250556","19.38260556","Primaria","Federal","Ejercito Constitucionalista","Iztapalapa","9220"
"09DPR2756X","-99.20292778","19.28211389","Primaria","Federal","Alfredo V. Bonfil","Tlalpan","14250"
"09DPR2759U","-99.20292778","19.28211389","Primaria","Federal","Alfredo V. Bonfil","Tlalpan","14250"
"09DPR2762H","-99.25272778","19.30666389","Primaria","Federal","Coronel Nicolas Romero","Magdalena Contreras","10620"
"09DPR2763G","-99.20380556","19.48065","Primaria","Federal","Petroleos Mexicanos","Azcapotzalco","2720"
"09DPR2764F","-99.07276667","19.30278333","Primaria","Federal","Francisco Del Paso Y Troncoso","Iztapalapa","9790"
"09DPR2765E","-99.08135278","19.34660278","Primaria","Federal","Rosario Ma. Gutierrez Eskildsen","Iztapalapa","9830"
"09DPR2766D","-99.07260278","19.36968611","Primaria","Federal","Miguel Ramos Arizpe","Iztapalapa","9300"
"09DPR2768B","-99.16848056","19.32446389","Primaria","Federal","Xitle","Coyoacán","4369"
"09DPR2769A","-99.16848056","19.32446389","Primaria","Federal","Xitle","Coyoacán","4369"
"09DPR2771P","-99.22665278","19.31535","Primaria","Federal","Dr. Salvador Allende G.","Magdalena Contreras","10700"
"09DPR2772O","-99.25272778","19.30666389","Primaria","Federal","Coronel Nicolas Romero","Magdalena Contreras","10620"
"09DPR2773N","-99.20045","19.38991944","Primaria","Federal","Maestro Arqueles Vela S.","Álvaro Obregón","1150"
"09DPR2778I","-99.19055278","19.48863056","Primaria","Federal","Mtra. Rosario Castellanos Figueroa","Azcapotzalco","2160"
"09DPR2779H","-99.20380556","19.48065","Primaria","Federal","Petroleos Mexicanos","Azcapotzalco","2720"
"09DPR2780X","-99.08515","19.33896389","Primaria","Federal","Carlos Darwin","Iztapalapa","9850"
"09DPR2781W","-99.14467222","19.5293","Primaria","Federal","Educacion Para Todos","Gustavo A. Madero","7280"
"09DPR2782V","-99.05723333","19.29519722","Primaria","Federal","Tlacaelel","Tláhuac","13270"
"09DPR2783U","-99.23235278","19.37026667","Primaria","Federal","Thailandia","Álvaro Obregón","1290"
"09DPR2787Q","-99.12925278","19.26788333","Primaria","Federal","Mariano Galvan Rivera","Xochimilco","16020"
"09DPR2790D","-99.12918889","19.39999444","Primaria","Federal","Pedro Henriquez Ureï¿½Ï¿½A","Iztacalco","8200"
"09DPR2792B","-99.03588611","19.38180278","Primaria","Federal","Dr. Ignacio Chavez","Iztapalapa","9230"
"09DPR2793A","-99.13798611","19.52011389","Primaria","Federal","Rabindranath Tagore","Gustavo A. Madero","7340"
"09DPR2795Z","-99.08056111","19.30685278","Primaria","Federal","Juan Ramon Jimenez","Iztapalapa","9920"
"09DPR2797X","-99.19280278","19.39504167","Primaria","Federal","Cirilo Celis Pastrana","Álvaro Obregón","1140"
"09DPR2799V","-99.01266111","19.34535833","Primaria","Federal","Jose Ortega Y Gasset","Iztapalapa","9600"
